type,product,total_fat_g_per_gram_of_serving,sugars_g_per_gram_of_serving,sodium_mg_per_gram_of_serving
cream,Julie's Sandwich Biscuits - Cheese,0.2857142857142857,0.17857142857142858,4.107142857142857
cream,Julie's Sandwich Biscuits - Peanut Butter,0.26666666666666666,0.2,2.8333333333333335
cream,Khong Guan Sandwich Biscuits - Banana ,0.3,0.2,2.8333333333333335
cream,Khong Guan Sandwich Biscuits - Cookies &amp; Cream ,0.2518518518518518,0.27037037037037037,3.6185185185185187
cream,Khong Guan Sandwich Biscuits - Custard,0.26666666666666666,0.16666666666666666,2.5
cream,Khong Guan Sandwich Biscuits - Lemon Puff,0.2727272727272727,0.0,5.318181818181818
cream,Khong Guan Sandwich Biscuits - Orange,0.3225806451612903,0.25806451612903225,2.7419354838709675
cream,Lotus Biscoff Biscuit - Biscoff Cream,0.26,0.34,3.25
cream,Lotus Biscoff Biscuits - Milk Chocolate,0.24,0.4,3.25
cream,Meiji Hello Panda Biscuits - Chocolate,0.28846153846153844,0.0,4.115384615384615
cream,Meiji Hello Panda Biscuits - Milk ,0.2653846153846154,0.29230769230769227,3.730769230769231
cream,Meiji Hello Panda Biscuits - Strawberry ,0.2692307692307692,0.0,4.115384615384615
cream,Munchy's Lexus Sandwich Calcium Crackers - Chocolate,0.2631578947368421,0.21052631578947367,3.8947368421052633
cream,Munchy's Lexus Sandwich Calcium Crackers - Peanut Butter,0.27,0.2,3.14
cream,Oreo Sandwich Cookies Multipack - Chocolate Creme,0.20689655172413793,0.38620689655172413,4.344827586206897
cream,Oreo Sandwich Cookies Multipack - Dark &amp; White Chocolate ,0.20689655172413793,0.3793103448275862,5.172413793103448
cream,Oreo Sandwich Cookies Multipack - Strawberry ,0.20344827586206898,0.38620689655172413,4.896551724137931
cream,Ritz Sandwich Biscuits Multipack - Chocolate Cream,0.26296296296296295,0.23333333333333334,3.074074074074074
wafer,Loacker Quadratini Crispy Wafers - Matcha-Green Tea,0.24,0.27,4.2
wafer,Alor Durian Wafer 21g x 10,0.311,,0.61
wafer,Beryl's Coconut Rolls Original,,0.30666666666666664,0.4
wafer,Julie's Love Letter Wafer Biscuit Roll - Chocolate,0.13333333333333333,,2.1666666666666665
wafer,Julie's Love Letter Wafer Biscuit Roll - Strawberry,0.16666666666666666,0.4,2.1666666666666665
wafer,Lee Lemon Cream Wafers,6.0,9.25,18.75
wafer,Lee S'bery Wafers Sticks,0.17555555555555558,0.1288888888888889,0.26666666666666666
wafer,Loacker Classic Mini Crispy Wafers - Assorted,0.051,,
wafer,Loacker Crispy Wafer Bar - Milk,0.28,0.27,4.1
wafer,Loacker Crispy Wafer Bar - Cremkakao,0.26,0.28,3.1
wafer,Mincher Peanut Flavor Wafer,,0.02725,0.1775
wafer,Redondo Cream Wafers - Cappuccino,0.18055555555555555,0.35,2.25
wafer,"Schar Schar Wafers with Lemon Cream, Gluten Free",,0.33,1.5
wafer,Lee Biscuits Carton - 24 Pack Cheese Cream Wafers Cubes,0.40499999999999997,0.16,3.925
wafer,Lee Biscuits Carton - 24 Pack Strawberry Cream Wafers Cubes,0.35111111111111115,0.2577777777777778,0.5333333333333333
wafer,Aladdin Danish Deluxe Waffle Cones,0.069,0.28600000000000003,
wafer,Aladdin Ice Cream Cones,0.0,0.3333333333333333,0.5833333333333334
wafer,Jules Destrooper Biscuits - Butter Crisps,0.15,0.36,4.1
wafer,Kagi Swiss Chocolate Wafer Minis - Classic,,0.38,2.4
wafer,Loacker Classic Mini Crispy Wafers - Vanille,0.0,0.17541666666666667,0.041666666666666664
wafer,Loacker Quadratini Crispy Wafers - Chocolate,0.26999999999999996,,
wafer,Loacker Quadratini Crispy Wafers - Napolitaner,0.26999999999999996,,
wafer,Loacker Quadratini Crispy Wafers - Tiramisu,0.29333333333333333,,
wafer,Lee Biscuits Carton - 24 Pack Chocolate Cream Wafers Cubes,0.29666666666666663,0.3411111111111111,0.5444444444444444
wafer,Lee Biscuits Carton - 24 Pack Lemon Cream Wafers Cubes,0.2833333333333333,0.22999999999999998,0.6888888888888889
wafer,Kagi Swiss Chocolate Wafer Minis - Dark,,0.272,1.12
